"DateTime","Depth","mod_chla","obs_chla"
2018-05-04,"3",0.790241181546866,3.3818
2018-05-04,"4",0.953939627897367,3.955
2018-05-04,"5",0.844949585764926,3.748
2018-05-04,"6",0.710847484717833,3.3845
2018-05-04,"7",0.718878600070526,2.6063
2018-05-04,"8",1.19985934522885,1.9569
2018-05-04,"9",2.14744133930316,1.3647
2018-05-11,"0.1",0.478197740849403,0.921
2018-05-11,"1",0.518661549973094,1.094
2018-05-11,"10",3.59731461489802,1.133
2018-05-11,"11",NA,0.9665
2018-05-11,"2",0.733593326959091,2.0102
2018-05-11,"3",1.54004197149663,2.1813
2018-05-11,"4",2.13770739850273,2.6712
2018-05-11,"5",2.26937540358668,3.0866
2018-05-11,"6",2.41496195967124,1.5379
2018-05-11,"7",3.17548522641196,1.9011
2018-05-11,"8",3.96620393760709,1.4125
2018-05-11,"9",2.65432200078839,1.0501
2018-05-17,"0.1",0.607781330097358,2.681
2018-05-17,"1",0.683850551133965,4.1569
2018-05-17,"10",3.43199512995191,1.205
2018-05-17,"11",NA,1.2495
2018-05-17,"2",1.06572551799063,2.3777
2018-05-17,"3",2.30641941950062,3.3199
2018-05-17,"4",2.96771976165025,3.8496
2018-05-17,"5",3.17521128419576,2.224
2018-05-17,"6",3.44810632725921,1.5407
2018-05-17,"7",3.52953188322481,1.4517
2018-05-17,"8",0.320276837694374,1.1484
2018-05-17,"9",0.320276837694374,1.3142
2018-05-24,"0.1",2.10142711771377,1.0999
2018-05-24,"1",2.11713735832204,1.6175
2018-05-24,"10",0.308430608881362,1.1646
2018-05-24,"11",0.381301869295692,1.112
2018-05-24,"2",2.13621025066707,5.4185
2018-05-24,"3",1.88933713708064,2.9721
2018-05-24,"4",1.17424227850378,3.0772
2018-05-24,"5",0.953538325355104,3.5665
2018-05-24,"6",0.830148785754595,1.8116
2018-05-24,"7",0.956273114952752,1.0999
2018-05-24,"8",0.118867511762803,0.7926
2018-05-24,"9",0.0627449104937566,1.5487
2018-05-31,"0.1",2.03266140324077,3.5693
2018-05-31,"1",2.05330835485002,6.4508
2018-05-31,"10",0.153699898657147,0.8574
2018-05-31,"11",0.236689325696582,0.9257
2018-05-31,"2",2.16609441962013,8.9793
2018-05-31,"3",2.18680416766123,5.2067
2018-05-31,"4",2.24918588430044,5.9552
2018-05-31,"5",2.46172556847775,1.9443
2018-05-31,"6",2.72538869837073,0.9755
2018-05-31,"7",0.639684942378556,0.7128
2018-05-31,"8",0.0499461418857585,1.1746
2018-05-31,"9",0.0215308224669041,1.1239
2018-06-07,"0.1",2.03956698412367,1.556
2018-06-07,"1",2.04490659588093,2.8465
2018-06-07,"10",0.150301896898896,1.3137
2018-06-07,"11",0.150228531902233,1.325
2018-06-07,"2",2.26065736965682,4.129
2018-06-07,"3",2.69493335956703,4.1593
2018-06-07,"4",3.34627964914612,6.3565
2018-06-07,"5",3.60871096817192,6.4872
2018-06-07,"6",3.5265717437217,2.0884
2018-06-07,"7",2.0104134852494,1.349
2018-06-07,"8",0.247062284367789,1.9039
2018-06-07,"9",0.080569613399635,1.397
2018-06-14,"0.1",2.08794916990706,2.0271
2018-06-14,"1",2.11641518512212,2.473
2018-06-14,"10",0.698163126479141,1.4401
2018-06-14,"11",0.609549777130669,1.6248
2018-06-14,"2",2.47503441545887,4.2837
2018-06-14,"3",3.1579784050298,5.9214
2018-06-14,"4",3.43306660369606,4.3362
2018-06-14,"5",3.55134970423492,3.9642
2018-06-14,"6",2.75500167602968,1.4219
2018-06-14,"7",0.91592624943429,2.5288
2018-06-14,"8",0.382366568306013,1.8448
2018-06-14,"9",1.48001264893829,1.4465
2018-06-21,"0.1",2.29293906333184,2.0785
2018-06-21,"1",2.29897334894016,2.5394
2018-06-21,"10",3.71109875730709,1.1606
2018-06-21,"11",3.36378381165224,1.3506
2018-06-21,"2",2.87962568030764,3.2592
2018-06-21,"3",3.41104505590457,10.1496
2018-06-21,"4",3.50258464299507,4.816
2018-06-21,"5",3.57566743939039,2.4788
2018-06-21,"6",3.46397268182965,3.1783
2018-06-21,"7",3.14526782796799,3.2228
2018-06-21,"8",2.85637883490315,1.941
2018-06-21,"9",2.7767671090757,1.29
2018-06-28,"0.1",2.52564695444006,2.2928
2018-06-28,"1",2.53632722068637,4.0437
2018-06-28,"10",3.44330440822241,0.9988
2018-06-28,"11",3.50820759764715,0.9624
2018-06-28,"2",3.01965226590605,4.5491
2018-06-28,"3",3.44551816419036,4.7513
2018-06-28,"4",3.5055845018864,1.3951
2018-06-28,"5",3.54447235003121,2.9964
2018-06-28,"6",3.56813279390096,1.5366
2018-06-28,"7",3.45995780731804,1.0635
2018-06-28,"8",0.622145579376073,1.0797
2018-06-28,"9",1.89525241515202,1.0473
2018-07-05,"0.1",2.89885371518033,1.5083
2018-07-05,"1",2.90662343350793,4.0477
2018-07-05,"10",3.70353194955304,1.2374
2018-07-05,"11",NA,1.1646
2018-07-05,"2",3.30839917634304,3.1177
2018-07-05,"3",3.49566250864735,5.8471
2018-07-05,"4",3.5852952118471,1.1767
2018-07-05,"5",3.79149245557288,3.146
2018-07-05,"6",3.57238649923318,1.3587
2018-07-05,"7",3.58005831478461,1.0473
2018-07-05,"8",3.82365553837652,1.0837
2018-07-05,"9",1.83542553569656,1.1686
2018-07-12,"0.1",3.17310311060581,1.4962
2018-07-12,"1",3.18159321334114,1.6013
2018-07-12,"10",3.9681292337348,1.1727
2018-07-12,"11",NA,1.383
2018-07-12,"2",3.39310357134234,2.1027
2018-07-12,"3",3.5005073870845,5.6773
2018-07-12,"4",3.61465205102421,2.309
2018-07-12,"5",3.82084938652822,1.6701
2018-07-12,"6",3.64956452070499,0.926
2018-07-12,"7",2.65998774800193,0.8452
2018-07-12,"8",2.68467339374968,0.9422
2018-07-12,"9",3.79436555098352,0.9665
2018-07-19,"0.1",3.20756184040007,2.3858
2018-07-19,"1",3.22365733765978,2.8144
2018-07-19,"10",5.09305885200922,1.2172
